service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111111_TR12,1,1,1,1,1,1,1,20251214,20261212
0110110_TR1,0,1,1,0,1,1,0,20260109,20260128
1111111_TR13,1,1,1,1,1,1,1,20251214,20261212
0000011_TR4,0,0,0,0,0,1,1,20260131,20260201
0000001_TR2,0,0,0,0,0,0,1,20251214,20261206
1111110_TR2,1,1,1,1,1,1,0,20251215,20261212
0000001_TR3,0,0,0,0,0,0,1,20251214,20261206
0000001_TR4,0,0,0,0,0,0,1,20251214,20261206
0000010_TR2,0,0,0,0,0,1,0,20251220,20261212
0000001_TR5,0,0,0,0,0,0,1,20251214,20261206
1111111_TR14,1,1,1,1,1,1,1,20251214,20261212
0001111_TR1,0,0,0,1,1,1,1,20260115,20260118
1110001_TR1,1,1,1,0,0,0,1,20260111,20260114
0000001_TR6,0,0,0,0,0,0,1,20251214,20261206
1000000_TR1,1,0,0,0,0,0,0,20251215,20261207
0111100_TR1,0,1,1,1,1,0,0,20251216,20261211
0000010_TR3,0,0,0,0,0,1,0,20251220,20261212
1111000_TR1,1,1,1,1,0,0,0,20251215,20261210
1111111_TR15,1,1,1,1,1,1,1,20251214,20261212
0000011_TR5,0,0,0,0,0,1,1,20260425,20260426
0000110_TR1,0,0,0,0,1,1,0,20251222,20260103
1111110_TR3,1,1,1,1,1,1,0,20251215,20261212
0000011_TR6,0,0,0,0,0,1,1,20260501,20260928
1111111_TR16,1,1,1,1,1,1,1,20260425,20260928
1111000_TR2,1,1,1,1,0,0,0,20260427,20260528
0001100_TR1,0,0,0,1,1,0,0,20260430,20260529
0111111_TR1,0,1,1,1,1,1,1,20251214,20261212
1000000_TR2,1,0,0,0,0,0,0,20251215,20261207
0000001_TR7,0,0,0,0,0,0,1,20251214,20261206
0000010_TR4,0,0,0,0,0,1,0,20251220,20261212
1111100_TR4,1,1,1,1,1,0,0,20251215,20261211
1111000_TR3,1,1,1,1,0,0,0,20260601,20260924
0000100_TR1,0,0,0,0,1,0,0,20260605,20260925
0000010_TR5,0,0,0,0,0,1,0,20260425,20260927
0000001_TR8,0,0,0,0,0,0,1,20260426,20260928
1111011_TR1,1,1,1,1,0,1,1,20251214,20261212
0000100_TR2,0,0,0,0,1,0,0,20251219,20261211
1111000_TR4,1,1,1,1,0,0,0,20251215,20261210
0000100_TR3,0,0,0,0,1,0,0,20251219,20261211
1111000_TR5,1,1,1,1,0,0,0,20251215,20261210
0000010_TR6,0,0,0,0,0,1,0,20251220,20261212
0000001_TR9,0,0,0,0,0,0,1,20251214,20261206
0000000_TR1,0,0,0,0,0,0,0,20251228,20261117
0000010_TR7,0,0,0,0,0,1,0,20251222,20260927
0000011_TR7,0,0,0,0,0,1,1,20251214,20261212
0000011_TR8,0,0,0,0,0,1,1,20251214,20261212
1111100_TR5,1,1,1,1,1,0,0,20251215,20261211
1111000_TR6,1,1,1,1,0,0,0,20251215,20261210
1111011_TR2,1,1,1,1,0,1,1,20251214,20261212
1100111_TR1,1,1,0,0,1,1,1,20251214,20261212
0011000_TR1,0,0,1,1,0,0,0,20251217,20261210
1111010_TR1,1,1,1,1,0,1,0,20251215,20261212
0000101_TR1,0,0,0,0,1,0,1,20251214,20261211
1111000_TR7,1,1,1,1,0,0,0,20260403,20260831
0000001_TR10,0,0,0,0,0,0,1,20260426,20260426
0000010_TR8,0,0,0,0,0,1,0,20260425,20260425
0000001_TR11,0,0,0,0,0,0,1,20260503,20260928
0000010_TR9,0,0,0,0,0,1,0,20260501,20260927
0000011_TR9,0,0,0,0,0,1,1,20251214,20261212
1111111_TR17,1,1,1,1,1,1,1,20251215,20261212
0000001_TR12,0,0,0,0,0,0,1,20251214,20261206
1111110_TR4,1,1,1,1,1,1,0,20251215,20261212
0000010_TR10,0,0,0,0,0,1,0,20251220,20261212
0000011_TR10,0,0,0,0,0,1,1,20251214,20261212
0000001_TR13,0,0,0,0,0,0,1,20251214,20261206
1111110_TR5,1,1,1,1,1,1,0,20251215,20261212
0000100_TR4,0,0,0,0,1,0,0,20251222,20260102
0000011_TR11,0,0,0,0,0,1,1,20251214,20261212
1111000_TR8,1,1,1,1,0,0,0,20251215,20261210
0000100_TR5,0,0,0,0,1,0,0,20251219,20261211
0000000_TR2,0,0,0,0,0,0,0,20251222,20261030
0000000_TR3,0,0,0,0,0,0,0,20260130,20260402
0000010_TR11,0,0,0,0,0,1,0,20251220,20261212
0000001_TR14,0,0,0,0,0,0,1,20251214,20261206
0000000_TR4,0,0,0,0,0,0,0,20251214,20261212
0000011_TR12,0,0,0,0,0,1,1,20260117,20260125
0000011_TR13,0,0,0,0,0,1,1,20260110,20260111
1111100_TR6,1,1,1,1,1,0,0,20251215,20261211
1000000_TR3,1,0,0,0,0,0,0,20260119,20260119
1111100_TR7,1,1,1,1,1,0,0,20260105,20260109
0000000_TR5,0,0,0,0,0,0,0,20251214,20261212
0000000_TR6,0,0,0,0,0,0,0,20251214,20261206
